Autonomous city and community of death;Covid-19;Month of death;Gender;Place of death;Total
National total;Total;Total;Total;Total;493.776
National total;Total;Total;Total;Hospital centre;266.235
National total;Total;Total;Total;Home;132.664
National total;Total;Total;Total;Health care home;73.216
National total;Total;Total;Total;Other place;12.000
National total;Total;Total;Total;Not specified;9.661
National total;Total;Total;Men;Total;249.664
National total;Total;Total;Men;Hospital centre;143.145
National total;Total;Total;Men;Home;67.009
National total;Total;Total;Men;Health care home;25.477
National total;Total;Total;Men;Other place;8.906
National total;Total;Total;Men;Not specified;5.127
National total;Total;Total;Women;Total;244.112
National total;Total;Total;Women;Hospital centre;123.090
National total;Total;Total;Women;Home;65.655
National total;Total;Total;Women;Health care home;47.739
National total;Total;Total;Women;Other place;3.094
National total;Total;Total;Women;Not specified;4.534
National total;Total;January;Total;Total;43.093
National total;Total;January;Total;Hospital centre;24.483
National total;Total;January;Total;Home;11.563
National total;Total;January;Total;Health care home;5.238
National total;Total;January;Total;Other place;1.051
National total;Total;January;Total;Not specified;758
National total;Total;January;Men;Total;21.579
National total;Total;January;Men;Hospital centre;12.604
National total;Total;January;Men;Home;5.841
National total;Total;January;Men;Health care home;1.936
National total;Total;January;Men;Other place;792
National total;Total;January;Men;Not specified;406
National total;Total;January;Women;Total;21.514
National total;Total;January;Women;Hospital centre;11.879
National total;Total;January;Women;Home;5.722
National total;Total;January;Women;Health care home;3.302
National total;Total;January;Women;Other place;259
National total;Total;January;Women;Not specified;352
National total;Total;February;Total;Total;36.623
National total;Total;February;Total;Hospital centre;20.548
National total;Total;February;Total;Home;9.567
National total;Total;February;Total;Health care home;4.778
National total;Total;February;Total;Other place;949
National total;Total;February;Total;Not specified;781
National total;Total;February;Men;Total;18.411
National total;Total;February;Men;Hospital centre;10.757
National total;Total;February;Men;Home;4.825
National total;Total;February;Men;Health care home;1.716
National total;Total;February;Men;Other place;705
National total;Total;February;Men;Not specified;408
National total;Total;February;Women;Total;18.212
National total;Total;February;Women;Hospital centre;9.791
National total;Total;February;Women;Home;4.742
National total;Total;February;Women;Health care home;3.062
National total;Total;February;Women;Other place;244
National total;Total;February;Women;Not specified;373
National total;Total;March;Total;Total;58.204
National total;Total;March;Total;Hospital centre;30.766
National total;Total;March;Total;Home;13.943
National total;Total;March;Total;Health care home;11.243
National total;Total;March;Total;Other place;992
National total;Total;March;Total;Not specified;1.260
National total;Total;March;Men;Total;30.621
National total;Total;March;Men;Hospital centre;17.670
National total;Total;March;Men;Home;7.274
National total;Total;March;Men;Health care home;4.319
National total;Total;March;Men;Other place;706
National total;Total;March;Men;Not specified;652
National total;Total;March;Women;Total;27.583
National total;Total;March;Women;Hospital centre;13.096
National total;Total;March;Women;Home;6.669
National total;Total;March;Women;Health care home;6.924
National total;Total;March;Women;Other place;286
National total;Total;March;Women;Not specified;608
National total;Total;April;Total;Total;61.025
National total;Total;April;Total;Hospital centre;28.521
National total;Total;April;Total;Home;13.144
National total;Total;April;Total;Health care home;17.194
National total;Total;April;Total;Other place;871
National total;Total;April;Total;Not specified;1.295
National total;Total;April;Men;Total;29.237
National total;Total;April;Men;Hospital centre;15.686
National total;Total;April;Men;Home;6.561
National total;Total;April;Men;Health care home;5.738
National total;Total;April;Men;Other place;610
National total;Total;April;Men;Not specified;642
National total;Total;April;Women;Total;31.788
National total;Total;April;Women;Hospital centre;12.835
National total;Total;April;Women;Home;6.583
National total;Total;April;Women;Health care home;11.456
National total;Total;April;Women;Other place;261
National total;Total;April;Women;Not specified;653
National total;Total;May;Total;Total;35.073
National total;Total;May;Total;Hospital centre;18.309
National total;Total;May;Total;Home;10.155
National total;Total;May;Total;Health care home;4.843
National total;Total;May;Total;Other place;1.098
National total;Total;May;Total;Not specified;668
National total;Total;May;Men;Total;17.476
National total;Total;May;Men;Hospital centre;9.666
National total;Total;May;Men;Home;5.088
National total;Total;May;Men;Health care home;1.520
National total;Total;May;Men;Other place;836
National total;Total;May;Men;Not specified;366
National total;Total;May;Women;Total;17.597
National total;Total;May;Women;Hospital centre;8.643
National total;Total;May;Women;Home;5.067
National total;Total;May;Women;Health care home;3.323
National total;Total;May;Women;Other place;262
National total;Total;May;Women;Not specified;302
National total;Total;June;Total;Total;30.755
National total;Total;June;Total;Hospital centre;16.419
National total;Total;June;Total;Home;9.386
National total;Total;June;Total;Health care home;3.614
National total;Total;June;Total;Other place;688
National total;Total;June;Total;Not specified;648
National total;Total;June;Men;Total;15.438
National total;Total;June;Men;Hospital centre;8.563
National total;Total;June;Men;Home;4.769
National total;Total;June;Men;Health care home;1.209
National total;Total;June;Men;Other place;532
National total;Total;June;Men;Not specified;365
National total;Total;June;Women;Total;15.317
National total;Total;June;Women;Hospital centre;7.856
National total;Total;June;Women;Home;4.617
National total;Total;June;Women;Health care home;2.405
National total;Total;June;Women;Other place;156
National total;Total;June;Women;Not specified;283
National total;Total;July;Total;Total;34.768
National total;Total;July;Total;Hospital centre;18.223
National total;Total;July;Total;Home;10.658
National total;Total;July;Total;Health care home;4.293
National total;Total;July;Total;Other place;905
National total;Total;July;Total;Not specified;689
National total;Total;July;Men;Total;17.361
National total;Total;July;Men;Hospital centre;9.524
National total;Total;July;Men;Home;5.355
National total;Total;July;Men;Health care home;1.434
National total;Total;July;Men;Other place;689
National total;Total;July;Men;Not specified;359
National total;Total;July;Women;Total;17.407
National total;Total;July;Women;Hospital centre;8.699
National total;Total;July;Women;Home;5.303
National total;Total;July;Women;Health care home;2.859
National total;Total;July;Women;Other place;216
National total;Total;July;Women;Not specified;330
National total;Total;August;Total;Total;36.038
National total;Total;August;Total;Hospital centre;19.230
National total;Total;August;Total;Home;10.709
National total;Total;August;Total;Health care home;4.429
National total;Total;August;Total;Other place;948
National total;Total;August;Total;Not specified;722
National total;Total;August;Men;Total;17.879
National total;Total;August;Men;Hospital centre;9.995
National total;Total;August;Men;Home;5.319
National total;Total;August;Men;Health care home;1.486
National total;Total;August;Men;Other place;705
National total;Total;August;Men;Not specified;374
National total;Total;August;Women;Total;18.159
National total;Total;August;Women;Hospital centre;9.235
National total;Total;August;Women;Home;5.390
National total;Total;August;Women;Health care home;2.943
National total;Total;August;Women;Other place;243
National total;Total;August;Women;Not specified;348
National total;Total;September;Total;Total;34.568
National total;Total;September;Total;Hospital centre;19.559
National total;Total;September;Total;Home;9.863
National total;Total;September;Total;Health care home;3.696
National total;Total;September;Total;Other place;826
National total;Total;September;Total;Not specified;624
National total;Total;September;Men;Total;17.819
National total;Total;September;Men;Hospital centre;10.527
National total;Total;September;Men;Home;5.068
National total;Total;September;Men;Health care home;1.280
National total;Total;September;Men;Other place;593
National total;Total;September;Men;Not specified;351
National total;Total;September;Women;Total;16.749
National total;Total;September;Women;Hospital centre;9.032
National total;Total;September;Women;Home;4.795
National total;Total;September;Women;Health care home;2.416
National total;Total;September;Women;Other place;233
National total;Total;September;Women;Not specified;273
National total;Total;October;Total;Total;39.720
National total;Total;October;Total;Hospital centre;22.641
National total;Total;October;Total;Home;11.174
National total;Total;October;Total;Health care home;4.304
National total;Total;October;Total;Other place;884
National total;Total;October;Total;Not specified;717
National total;Total;October;Men;Total;20.624
National total;Total;October;Men;Hospital centre;12.312
National total;Total;October;Men;Home;5.764
National total;Total;October;Men;Health care home;1.488
National total;Total;October;Men;Other place;659
National total;Total;October;Men;Not specified;401
National total;Total;October;Women;Total;19.096
National total;Total;October;Women;Hospital centre;10.329
National total;Total;October;Women;Home;5.410
National total;Total;October;Women;Health care home;2.816
National total;Total;October;Women;Other place;225
National total;Total;October;Women;Not specified;316
National total;Total;November;Total;Total;42.264
National total;Total;November;Total;Hospital centre;24.142
National total;Total;November;Total;Home;11.177
National total;Total;November;Total;Health care home;4.982
National total;Total;November;Total;Other place;1.204
National total;Total;November;Total;Not specified;759
National total;Total;November;Men;Total;21.784
National total;Total;November;Men;Hospital centre;13.149
National total;Total;November;Men;Home;5.579
National total;Total;November;Men;Health care home;1.751
National total;Total;November;Men;Other place;907
National total;Total;November;Men;Not specified;398
National total;Total;November;Women;Total;20.480
National total;Total;November;Women;Hospital centre;10.993
National total;Total;November;Women;Home;5.598
National total;Total;November;Women;Health care home;3.231
National total;Total;November;Women;Other place;297
National total;Total;November;Women;Not specified;361
National total;Total;December;Total;Total;41.645
National total;Total;December;Total;Hospital centre;23.394
National total;Total;December;Total;Home;11.325
National total;Total;December;Total;Health care home;4.602
National total;Total;December;Total;Other place;1.584
National total;Total;December;Total;Not specified;740
National total;Total;December;Men;Total;21.435
National total;Total;December;Men;Hospital centre;12.692
National total;Total;December;Men;Home;5.566
National total;Total;December;Men;Health care home;1.600
National total;Total;December;Men;Other place;1.172
National total;Total;December;Men;Not specified;405
National total;Total;December;Women;Total;20.210
National total;Total;December;Women;Hospital centre;10.702
National total;Total;December;Women;Home;5.759
National total;Total;December;Women;Health care home;3.002
National total;Total;December;Women;Other place;412
National total;Total;December;Women;Not specified;335
National total;Identified Covid-19 virus;Total;Total;Total;60.358
National total;Identified Covid-19 virus;Total;Total;Hospital centre;47.207
National total;Identified Covid-19 virus;Total;Total;Home;2.108
National total;Identified Covid-19 virus;Total;Total;Health care home;10.010
National total;Identified Covid-19 virus;Total;Total;Other place;70
National total;Identified Covid-19 virus;Total;Total;Not specified;963
National total;Identified Covid-19 virus;Total;Men;Total;32.498
National total;Identified Covid-19 virus;Total;Men;Hospital centre;27.442
National total;Identified Covid-19 virus;Total;Men;Home;1.082
National total;Identified Covid-19 virus;Total;Men;Health care home;3.440
National total;Identified Covid-19 virus;Total;Men;Other place;32
